[18/04/09 18:06:02,659] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:33:45,773] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:33:45,789] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:40:26,289] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:40:26,446] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:40:26,447] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:40:26,459] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:40:26,460] --> player 1691 onInit
=======[18/04/09 18:40:26,460] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:40:26,478] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:40:26,491] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:43:59,858] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:43:59,976] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:43:59,977] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:43:59,980] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:43:59,981] --> player 1691 onInit
=======[18/04/09 18:43:59,981] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:43:59,993] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:44:00,001] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:46:24,274] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:46:24,371] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:46:24,371] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:46:24,374] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:46:24,374] --> player 1691 onInit
=======[18/04/09 18:46:24,374] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:46:24,391] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:46:24,401] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:51:36,061] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:51:36,184] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:51:36,184] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:51:36,186] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:51:36,186] --> player 1691 onInit
=======[18/04/09 18:51:36,186] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:51:36,200] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:51:36,207] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:53:37,561] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:53:37,689] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:53:37,689] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:53:37,692] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:53:37,693] --> player 1691 onInit
=======[18/04/09 18:53:37,693] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:53:37,708] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:53:37,717] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:54:44,184] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:54:44,301] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:54:44,301] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:54:44,303] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:54:44,303] --> player 1691 onInit
=======[18/04/09 18:54:44,303] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:54:44,317] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:54:44,325] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:58:42,179] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:58:42,302] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:58:42,302] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:58:42,314] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:58:42,314] --> player 1691 onInit
=======[18/04/09 18:58:42,314] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:58:42,328] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:58:42,339] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 18:59:53,589] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 18:59:53,686] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 18:59:53,686] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 18:59:53,689] --> player 1691 checkAfterRoleLoad
=======[18/04/09 18:59:53,689] --> player 1691 onInit
=======[18/04/09 18:59:53,689] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 18:59:53,707] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 18:59:53,716] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 19:05:40,757] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 19:05:40,924] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 19:05:40,924] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 19:05:40,941] --> player 1691 checkAfterRoleLoad
=======[18/04/09 19:05:40,941] --> player 1691 onInit
=======[18/04/09 19:05:40,941] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 19:05:40,964] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 19:05:41,031] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 19:07:06,408] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 19:07:20,860] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 19:07:20,860] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 19:07:20,866] --> player 1691 checkAfterRoleLoad
=======[18/04/09 19:07:20,866] --> player 1691 onInit
=======[18/04/09 19:07:20,866] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 19:07:20,885] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 19:07:20,899] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 19:09:14,317] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 19:09:14,524] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 19:09:14,524] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 19:09:14,527] --> player 1691 checkAfterRoleLoad
=======[18/04/09 19:09:14,527] --> player 1691 onInit
=======[18/04/09 19:09:14,527] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 19:09:14,542] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 19:09:14,555] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 19:11:59,912] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 19:12:00,058] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 19:12:00,059] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 19:12:00,064] --> player 1691 checkAfterRoleLoad
=======[18/04/09 19:12:00,064] --> player 1691 onInit
=======[18/04/09 19:12:00,064] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 19:12:00,079] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 19:12:00,088] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======[18/04/09 19:13:54,763] --> 玩家id[6389050585346900994]玩家名[1691]玩家加载成功
=======[18/04/09 19:13:54,874] --> [玩家登陆加载] [成功] [初次登陆标识:false]
=======[18/04/09 19:13:54,874] --> 玩家id[6389050585346900994]玩家名[1691]登陆成功
=======[18/04/09 19:13:54,876] --> player 1691 checkAfterRoleLoad
=======[18/04/09 19:13:54,876] --> player 1691 onInit
=======[18/04/09 19:13:54,876] --> 玩家id[6389050585346900994]玩家名[1691]角色数据加载完成
=======[18/04/09 19:13:54,889] --> 玩家id[6389050585346900994]玩家名[1691]加载完成后的初始化工作完成
=======[18/04/09 19:13:54,895] --> 玩家id[6389050585346900994]玩家名[1691]初始消息发送成功
=======
